domain,package,got_json,ip_count,port,ips,seconds
710cpa2.zn9ut.com,gooxfqncc.isayncndhchgmcnd.fyciamek,yes,15,30138,8.163.55.197;103.45.129.234;8.163.38.119;103.120.90.51;8.134.83.115;8.148.251.8;139.199.173.247;8.148.216.6;123.207.85.65;8.148.243.225;1.14.201.64;42.194.186.144;193.112.75.147;8.163.1.180;193.112.206.162,5.2
710cpa3.3ymsm.com,pqw.tlnsaaruyfqt.bvwxxxxixceuuuibpx,yes,15,30164,103.45.129.234;106.52.237.224;8.134.150.230;8.138.185.1;8.134.12.120;8.138.223.141;103.120.90.33;42.194.139.136;118.89.54.124;8.138.161.195;159.75.110.223;106.52.249.93;8.138.174.98;43.139.30.195;8.134.85.51,5.2
710cpa4.xv7kr.com,uqu.ikvsdnwtnfto.cxveccaubkkjfvlknq,yes,15,30164,8.134.150.230;106.52.249.93;118.89.54.124;42.194.139.136;8.138.174.98;8.134.12.120;8.138.223.141;43.139.30.195;8.138.161.195;159.75.110.223;8.138.185.1;103.45.129.234;106.52.237.224;8.134.85.51;103.120.90.33,5.2
710cpa6.4okci.com,lfu.dcuavjluswdaber.nshrgocirwfsvrvaxdfh,yes,14,30145,43.139.191.182;119.29.193.76;8.138.185.191;119.29.63.124;8.134.215.2;8.138.207.84;8.138.7.133;106.55.196.93;175.178.58.16;159.75.28.236;8.138.26.104;103.45.129.234;8.134.137.91;103.120.90.46,10.5
710cpc08.2ah27.com,xmg.rxlghnaymoijebx.mthsgufpwxpfcpo,yes,12,30160,43.139.121.178;175.178.178.53;42.193.185.105;103.45.129.234;8.138.7.148;193.112.105.63;8.163.72.207;106.53.86.64;103.120.90.33;8.134.164.181;8.148.201.213;42.194.159.192,10.4
710d104.10msu.com,lnc.cmpmkkfajjoc.kkhbbxowgeedylflqu,yes,15,30164,159.75.110.223;106.52.237.224;103.45.129.234;8.138.185.1;8.134.12.120;42.194.139.136;43.139.30.195;106.52.249.93;118.89.54.124;103.120.90.33;8.134.150.230;8.134.85.51;8.138.174.98;8.138.161.195;8.138.223.141,5.2
710dong08.nfu56.gpzycm.com,mcp.xbtmhbtrsrhcj.rlvjmslvpeukhwhfas,yes,14,30154,43.136.105.252;8.134.250.210;1.14.190.197;42.194.177.67;103.120.90.46;8.134.239.11;1.14.150.118;8.134.171.215;8.134.134.238;106.52.50.43;103.45.129.234;8.134.143.176;8.134.131.85;159.75.72.50,5.2
710dong27.qev30.gpzycm.com,jnv.kpcriujfmrset.henoqcprxgyuxpercf,yes,14,30154,8.134.143.176;1.14.150.118;103.45.129.234;8.134.171.215;8.134.131.85;8.134.239.11;103.120.90.46;43.136.105.252;8.134.134.238;1.14.190.197;159.75.72.50;8.134.250.210;106.52.50.43;42.194.177.67,5.2
710dong41.iki60.gpzycm.com,mcp.xbtmhbtrsrhcj.rlvjmslvpeukhwhfas,yes,14,30154,103.120.90.46;1.14.190.197;106.52.50.43;42.194.177.67;1.14.150.118;43.136.105.252;8.134.250.210;8.134.239.11;8.134.171.215;8.134.143.176;8.134.134.238;159.75.72.50;8.134.131.85;103.45.129.234,5.2
710dong44.ubo68.gpzycm.com,mwv.cdtpovissnbeh.kksvkokjwydxykacql,yes,14,30154,1.14.190.197;42.194.177.67;106.52.50.43;103.120.90.46;103.45.129.234;8.134.250.210;8.134.239.11;8.134.143.176;8.134.131.85;1.14.150.118;8.134.134.238;43.136.105.252;8.134.171.215;159.75.72.50,10.4
710hu101.hfp25.gpzycm.com,rhs.djlavbdnifqim.mfprymawnjynwofnda,yes,14,30154,103.45.129.234;43.136.105.252;8.134.143.176;8.134.171.215;8.134.131.85;8.134.250.210;1.14.150.118;1.14.190.197;42.194.177.67;106.52.50.43;8.134.134.238;159.75.72.50;8.134.239.11;103.120.90.46,10.4
710hu107.dkz85.gpzycm.com,ypv.eepieaegjesmv.yboamtuwyrhowsfdrn,yes,14,30154,8.134.250.210;8.134.143.176;8.134.134.238;8.134.239.11;42.194.177.67;159.75.72.50;103.45.129.234;103.120.90.46;43.136.105.252;8.134.171.215;106.52.50.43;1.14.190.197;8.134.131.85;1.14.150.118,5.2
710jwx17.jck61.gpzycm.com,tgr.dodouakoegjjg.bewbmmhxxkbtcpqxgn,yes,14,30154,8.134.143.176;43.136.105.252;42.194.177.67;8.134.171.215;8.134.134.238;8.134.239.11;103.120.90.46;1.14.190.197;103.45.129.234;1.14.150.118;8.134.131.85;106.52.50.43;8.134.250.210;159.75.72.50,5.2
710sgl03.bscye.gpzycm.com,led.cbjcpgpinualn.gdyvhmwcrhsbgbawhm,yes,14,30154,1.14.150.118;8.134.171.215;43.136.105.252;103.45.129.234;159.75.72.50;8.134.143.176;103.120.90.46;8.134.134.238;8.134.131.85;42.194.177.67;8.134.239.11;8.134.250.210;1.14.190.197;106.52.50.43,5.2
