apk_path,package,label,apk_id
/home/ninini/Agents/APK-Research/new_samples/714yhq8.6n3cl.com.apk,mfw.moaurctkpkcv.tycvdcxlegfeypruvtvx,aagrvJ,714yhq8.6n3cl.com
/home/ninini/Agents/APK-Research/new_samples/721cpa1.1ggwp.com.apk,wjj.xwonurutkyrblkm.utapenfdgascrgjxdrdu,tvdsuh,721cpa1.1ggwp.com
/home/ninini/Agents/APK-Research/new_samples/721cpa5.vbbon.com.apk,fgc.dsaktbcndjbklsk.ahwitgspvigrvaenvovo,mJzeoB,721cpa5.vbbon.com
/home/ninini/Agents/APK-Research/new_samples/712cpb05.z3h21.com.apk,hlv.amjtosoqemc.nalyxrjoyuwxqqik,uczZmC,712cpb05.z3h21.com
/home/ninini/Agents/APK-Research/new_samples/714cpk22.n1byg.com.apk,ehe.cmpvinpntnva.kagoqjughdcewersgkec,KJSyuG,714cpk22.n1byg.com
/home/ninini/Agents/APK-Research/new_samples/712yh102.v3sbo.com.apk,ehe.cmpvinpntnva.kagoqjughdcewersgkec,KJSyuG,712yh102.v3sbo.com
/home/ninini/Agents/APK-Research/new_samples/715cpb01.73idx.com.apk,fgo.rxvgcffcfmw.sgkfkrqlsoimwkvo,lUTdtU,715cpb01.73idx.com
/home/ninini/Agents/APK-Research/new_samples/718sl090.xh97o.com.apk,gik.fwvmjgndsnm.mvfcirnupqeqnsw,RheEsj,718sl090.xh97o.com
/home/ninini/Agents/APK-Research/new_samples/719cpb02.gtr3i.com.apk,dyf.xkrrpujjyel.lhjqemsltamiufso,nmCWQV,719cpb02.gtr3i.com
/home/ninini/Agents/APK-Research/new_samples/714b159.owu1n.com.apk,eqqkkodpr.wisjhuufyqvrhmig.byuxgxyx,HFIUjC,714b159.owu1n.com
/home/ninini/Agents/APK-Research/new_samples/714cpk20.wd4ii.com.apk,iyb.oibyskkqsgne.urmgkehqbsfrwkxtkeoj,IcuxOw,714cpk20.wd4ii.com
/home/ninini/Agents/APK-Research/new_samples/71du012.7dqnu.com.apk,tae.bpgmbwdascw.yyfuaphfhflpfpr,XmWQdz,71du012.7dqnu.com
/home/ninini/Agents/APK-Research/new_samples/712c134.2y0vn.com.apk,etc.goghjtijgjyfcaj.otuiuwcavfbj,bUeZrA,712c134.2y0vn.com
/home/ninini/Agents/APK-Research/new_samples/713c31.6bsi0.com.apk,dgq.oofjwbqkdjivaiw.sdrqfmjkgalw,NZisAf,713c31.6bsi0.com
/home/ninini/Agents/APK-Research/new_samples/714cpk21.6p3n0.com.apk,agx.isaxihwwssfd.lfbvpqgwvaxunnuxcpiy,aeHheS,714cpk21.6p3n0.com
/home/ninini/Agents/APK-Research/new_samples/711cpb15.nbnii.com.apk,hpm.edwledbelcj.kmjiwumyrfwhkrun,vVCqtQ,711cpb15.nbnii.com
/home/ninini/Agents/APK-Research/new_samples/712b205.c8aha.com.apk,eouibebyy.gvtsaeajpmbuihpl.islvjukj,obbBWA,712b205.c8aha.com
